index,movie_title,release_date,hero,villian,song
0,Snow White and the Seven Dwarfs,21/12/1937,Snow White,Evil Queen,Some Day My Prince Will Come
1,Pinocchio,07/02/1940,Pinocchio,Stromboli,When You Wish upon a Star
2,Fantasia,13/11/1940,,Chernabog,
3,Dumbo,23/10/1941,Dumbo,Ringmaster,Baby Mine
4,Bambi,13/08/1942,Bambi,Hunter,Love Is a Song
5,Saludos Amigos,06/02/1943,Donald Duck,,Saludos Amigos
6,The Three Caballeros,03/02/1945,Donald Duck,,
7,Make Mine Music,20/04/1946,,,
8,Fun and Fancy Free,27/09/1947,Mickey Mouse,Willie the Giant,
9,Melody Time,27/05/1948,,,Little Toot
10,The Adventures of Ichabod and Mr. Toad,05/10/1949,Mr. Toad and Ichabod Crane,Mr. Winkie and The Headless Horseman,The Merrily Song
11,Cinderella,15/02/1950,Cinderella,Lady Tremaine,Bibbidi-Bobbidi-Boo
12,Alice in Wonderland,28/07/1951,Alice,Queen of Hearts,The Unbirthday Song
13,Peter Pan,05/02/1953,Peter Pan,Captain Hook,You Can Fly!
14,Lady and the Tramp,22/06/1955,Lady and Tramp,Si and Am,Bella Notte
15,Sleeping Beauty,29/01/1959,Aurora,Maleficent,Once Upon a Dream
16,One Hundred and One Dalmatians,25/01/1961,Pongo,Cruella de Vil,Cruella De Vil
17,The Sword in the Stone,25/12/1963,Arthur,Madam Mim,Higitus Figitus
18,The Jungle Book,18/10/1967,Mowgli,Kaa and Shere Khan,The Bare Necessities
19,The Aristocats,24/12/1970,Thomas and Duchess,Edgar Balthazar,Ev'rybody Wants to Be a Cat
20,Robin Hood,08/11/1973,Robin Hood,Prince John,Oo De Lally
21,The Many Adventures of Winnie the Pooh,11/03/1977,Winnie the Pooh,,Winnie the Pooh
22,The Rescuers,22/06/1977,Bernard and Miss Bianca,Madame Medusa,The Journey
23,The Fox and the Hound,10/07/1981,Tod and Copper,Amos Slade,Best of Friends
24,The Black Cauldron,24/07/1985,Taran,Horned King,
25,The Great Mouse Detective,02/07/1986,Basil,Professor Ratigan,The World's Greatest Criminal Mind
26,Oliver & Company,18/11/1988,Oliver,Sykes,Once Upon a Time in New York City
27,The Little Mermaid,17/11/1989,Ariel,Ursula,Under the Sea
28,The Rescuers Down Under,16/11/1990,Bernard and Miss Bianca,Percival C. McLeach,
29,Beauty and the Beast,22/11/1991,Belle,Gaston,Be Our Guest
30,Aladdin,25/11/1992,Aladdin,Jafar,A Whole New World
31,The Lion King,24/06/1994,Simba,Scar,Circle of Life
32,Pocahontas,23/06/1995,Pocahontas,Governor Ratcliffe,Colors of the Wind
33,The Hunchback of Notre Dame,21/06/1996,Quasimodo,Claude Frollo,God Help the Outcasts
34,Hercules,27/06/1997,Hercules,Hades,Go the Distance
35,Mulan,19/06/1998,Mulan,Shan Yu,I'll Make a Man Out of You
36,Tarzan,18/06/1999,Tarzan,Clayton,You'll Be in My Heart
37,Fantasia 2000,17/12/1999,,,
38,Dinosaur,19/05/2000,Aladar,Kron,
39,The Emperor's New Groove,15/12/2000,Kuzco,Yzma,My Funny Friend and Me
40,Atlantis: The Lost Empire,15/06/2001,Milo Thatch,Commander Rourke,Where the Dream Takes You
41,Lilo & Stitch,21/06/2002,Lilo and Stitch,,He Mele No Lilo
42,Treasure Planet,27/11/2002,Jim Hawkins,John Silver,I'm Still Here
43,Brother Bear,01/11/2003,Kenai,Denahi,Look Through My Eyes
44,Home on the Range,02/04/2004,Maggie,Alameda Slim,
45,Chicken Little,04/11/2005,Ace Cluck,Foxy Loxy,
46,Meet the Robinsons,30/03/2007,Lewis,Doris,Little Wonders
47,Bolt,21/11/2008,Bolt,Dr. Calico,I Thought I Lost You
48,The Princess and the Frog,11/12/2009,Tiana,Dr. Facilier,Almost There
49,Tangled,24/11/2010,Rapunzel,Mother Gothel,I See the Light
50,Winnie the Pooh,15/07/2011,Winnie the Pooh,,Winnie the Pooh
51,Wreck-It Ralph,02/11/2012,Ralph,Turbo,Sugar Rush
52,Frozen,27/11/2013,Elsa,Prince Hans,Let It Go
53,Big Hero 6,07/11/2014,Hiro Hamada,Professor Callaghan,Immortals
54,Zootopia,04/03/2016,Judy Hopps,,Try Everything
55,Moana,23/11/2016,Moana,,How Far I'll Go
